#   Source : patch atmosphere
#   Faces  : 7880
#   Area   : 3.500000e+001
#        Time	sum(rhoPhi)
7.206667e-001	6.674826e+002
7.243333e-001	6.675302e+002
7.280000e-001	6.674715e+002
7.311429e-001	6.667154e+002
7.342857e-001	6.653915e+002
7.369048e-001	6.645943e+002
7.395238e-001	6.630170e+002
7.416190e-001	6.625218e+002
7.437143e-001	6.606552e+002
7.458095e-001	6.609592e+002
7.479048e-001	6.614497e+002
7.500000e-001	6.621695e+002
7.522727e-001	6.632242e+002
7.547847e-001	6.648652e+002
7.574444e-001	6.660613e+002
7.602815e-001	6.667748e+002
7.633367e-001	6.672675e+002
7.666698e-001	6.677373e+002
7.700028e-001	6.677241e+002
7.733358e-001	6.673121e+002
7.766688e-001	6.671590e+002
7.800019e-001	6.674713e+002
7.833349e-001	6.677195e+002
7.866679e-001	6.680388e+002
7.900009e-001	6.683020e+002
7.933340e-001	6.689626e+002
7.966670e-001	6.690938e+002
7.983335e-001	6.677664e+002
8.000000e-001	6.614419e+002
8.019231e-001	6.622538e+002
8.042125e-001	6.647976e+002
8.067562e-001	6.668891e+002
8.096391e-001	6.685056e+002
8.127438e-001	6.701257e+002
8.161307e-001	6.716504e+002
8.198940e-001	6.737971e+002
8.236572e-001	6.755858e+002
8.269501e-001	6.762478e+002
8.298313e-001	6.754617e+002
8.327126e-001	6.753808e+002
8.355938e-001	6.766854e+002
8.384750e-001	6.775533e+002
8.413563e-001	6.783657e+002
8.442375e-001	6.788818e+002
8.471188e-001	6.794054e+002
8.500000e-001	6.798930e+002
8.531250e-001	6.808839e+002
8.564732e-001	6.824486e+002
8.601004e-001	6.836714e+002
8.640904e-001	6.847758e+002
8.676814e-001	6.852158e+002
8.712723e-001	6.839523e+002
8.748633e-001	6.836271e+002
8.784542e-001	6.834813e+002
8.820452e-001	6.835384e+002
8.856362e-001	6.841370e+002
8.892271e-001	6.851037e+002
8.928181e-001	6.869329e+002
8.964090e-001	6.891247e+002
9.000000e-001	6.919606e+002
9.038462e-001	6.967008e+002
9.080420e-001	7.033674e+002
9.118563e-001	7.089536e+002
9.160945e-001	7.152135e+002
9.203327e-001	7.233585e+002
9.245709e-001	7.310435e+002
9.288091e-001	7.376145e+002
9.330473e-001	7.451482e+002
9.372854e-001	7.522075e+002
9.415236e-001	7.586965e+002
9.457618e-001	7.612396e+002
9.500000e-001	7.634474e+002
9.541667e-001	7.655232e+002
9.583333e-001	7.657518e+002
9.625000e-001	7.637654e+002
9.666667e-001	7.600699e+002
9.708333e-001	7.559527e+002
9.750000e-001	7.512930e+002
9.791667e-001	7.480245e+002
9.833333e-001	7.437316e+002
9.875000e-001	7.390258e+002
9.916667e-001	7.342765e+002
9.944444e-001	7.307410e+002
9.972222e-001	7.240238e+002
1.000000e+000	7.224474e+002
1.003125e+000	7.230999e+002
1.006473e+000	7.255569e+002
