#   Source : patch outlet2
#   Faces  : 212
#   Area   : 1.000000e+000
#        Time	sum(rhoPhi)
1.666667e-002	-1.000000e+000
2.500000e-002	0.000000e+000
3.333333e-002	-1.709101e-001
3.888889e-002	4.164703e-004
4.444444e-002	-1.402741e-001
5.000000e-002	7.976497e-004
5.625000e-002	-1.269976e-001
6.250000e-002	1.720373e-003
6.875000e-002	-1.161026e-001
7.500000e-002	1.876555e-003
8.125000e-002	-1.069891e-001
8.750000e-002	1.725943e-003
9.375000e-002	-9.914658e-002
1.000000e-001	1.640259e-003
1.071429e-001	-9.223316e-002
1.142857e-001	1.897632e-003
1.214286e-001	-8.548418e-002
1.285714e-001	2.051483e-003
1.357143e-001	-7.950001e-002
1.428571e-001	2.180150e-003
1.500000e-001	-7.407640e-002
1.571429e-001	2.338636e-003
1.642857e-001	-6.934740e-002
1.714286e-001	2.457664e-003
1.785714e-001	-6.519531e-002
1.857143e-001	2.490449e-003
1.928571e-001	-6.155560e-002
2.000000e-001	2.519085e-003
2.071429e-001	-5.832863e-002
2.142857e-001	2.540210e-003
2.214286e-001	-5.542926e-002
2.285714e-001	2.569566e-003
2.357143e-001	-5.281931e-002
2.428571e-001	2.610340e-003
2.500000e-001	-5.043862e-002
2.571429e-001	2.661284e-003
2.642857e-001	-4.822335e-002
2.714286e-001	2.729345e-003
2.785714e-001	-4.620078e-002
2.839286e-001	2.843527e-003
2.892857e-001	-4.396593e-002
2.946429e-001	3.040154e-003
2.973214e-001	-4.257726e-002
3.000000e-001	3.205092e-003
3.031250e-001	-4.164823e-002
3.067308e-001	3.337963e-003
3.106643e-001	-4.093383e-002
3.150350e-001	3.422522e-003
3.194056e-001	-4.008956e-002
3.237762e-001	3.502817e-003
3.275225e-001	-3.909278e-002
3.312687e-001	3.589952e-003
3.350150e-001	-3.821116e-002
3.387612e-001	3.664205e-003
3.425075e-001	-3.738855e-002
3.462537e-001	3.723299e-003
3.481269e-001	-3.660126e-002
3.500000e-001	3.803865e-003
3.521739e-001	-3.605509e-002
3.546911e-001	3.872624e-003
3.575229e-001	-3.563200e-002
3.605570e-001	3.910922e-003
3.638439e-001	-3.510484e-002
3.674595e-001	3.940775e-003
3.707135e-001	-3.454534e-002
3.739676e-001	3.967030e-003
3.768601e-001	-3.393545e-002
3.791741e-001	4.005972e-003
3.812567e-001	-3.328608e-002
3.833393e-001	4.065474e-003
3.854219e-001	-3.285110e-002
3.875044e-001	4.103067e-003
3.895870e-001	-3.245408e-002
3.916696e-001	4.131025e-003
3.937522e-001	-3.207275e-002
3.958348e-001	4.152060e-003
3.979174e-001	-3.170712e-002
4.000000e-001	4.167831e-003
4.023810e-001	-3.135447e-002
4.050265e-001	4.182872e-003
4.075250e-001	-3.102627e-002
4.101797e-001	4.185536e-003
4.130240e-001	-3.066569e-002
4.158683e-001	4.184521e-003
4.189712e-001	-3.025258e-002
4.217920e-001	4.194939e-003
