#   Source : patch outlet2
#   Faces  : 20
#   Area   : 1.000000e+000
#        Time	sum(rhoPhi)
3.333333e-002	-1.000000e+000
5.000000e-002	0.000000e+000
6.500000e-002	-4.867978e-001
8.000000e-002	0.000000e+000
9.500000e-002	-4.108279e-001
1.100000e-001	0.000000e+000
1.250000e-001	-3.604006e-001
1.400000e-001	0.000000e+000
1.550000e-001	-3.226376e-001
1.700000e-001	0.000000e+000
1.850000e-001	-2.925765e-001
2.000000e-001	0.000000e+000
2.166667e-001	-2.675473e-001
2.350000e-001	2.634760e-004
2.556250e-001	-2.441822e-001
2.736719e-001	2.831251e-004
2.894629e-001	-2.198990e-001
3.032800e-001	1.901870e-004
3.170972e-001	-2.034363e-001
3.309143e-001	4.857475e-005
3.447314e-001	-1.903710e-001
3.585486e-001	-8.801073e-005
3.723657e-001	-1.784149e-001
3.861829e-001	-1.019314e-004
4.000000e-001	-1.675032e-001
4.142857e-001	-9.358675e-005
4.275510e-001	-1.575579e-001
4.408163e-001	-9.398451e-005
4.552876e-001	-1.488932e-001
4.713667e-001	-1.015544e-004
4.874459e-001	-1.402804e-001
5.015152e-001	-1.334243e-004
5.155844e-001	-1.322190e-001
5.296537e-001	-1.692030e-004
5.437229e-001	-1.255163e-001
5.577922e-001	-1.977069e-004
5.718615e-001	-1.193507e-001
5.859307e-001	-2.208141e-004
6.000000e-001	-1.139266e-001
6.142857e-001	-2.452623e-004
6.285714e-001	-1.093356e-001
6.428571e-001	-1.797085e-004
6.559524e-001	-1.047187e-001
6.690476e-001	1.762835e-004
6.821429e-001	-8.886693e-002
6.952381e-001	2.886917e-003
7.083333e-001	7.588143e-002
7.214286e-001	1.501926e+000
7.345238e-001	1.005695e+001
7.476190e-001	4.159269e+001
7.607143e-001	4.755941e+001
7.738095e-001	4.092778e+001
7.825397e-001	3.107076e+001
7.912698e-001	2.487781e+001
8.000000e-001	2.194489e+001
8.100000e-001	2.372817e+001
8.211765e-001	2.531666e+001
8.330980e-001	2.785781e+001
8.459367e-001	2.763426e+001
8.599424e-001	2.699572e+001
8.755044e-001	2.585695e+001
8.910663e-001	2.575338e+001
9.066283e-001	2.573605e+001
9.221902e-001	2.684638e+001
9.377522e-001	2.673074e+001
9.533141e-001	2.573970e+001
9.688761e-001	2.353072e+001
9.844380e-001	2.301878e+001
1.000000e+000	2.128865e+001
1.016667e+000	2.086521e+001
1.035000e+000	1.951239e+001
1.048750e+000	1.947364e+001
1.062500e+000	1.870803e+001
1.076250e+000	1.856376e+001
1.086562e+000	1.814153e+001
1.096016e+000	1.844944e+001
1.105469e+000	1.840313e+001
1.115972e+000	1.880883e+001
1.127976e+000	1.957457e+001
1.139980e+000	2.160860e+001
1.151984e+000	2.388645e+001
1.163988e+000	2.854751e+001
1.175992e+000	3.350924e+001
1.187996e+000	3.634242e+001
1.200000e+000	3.575440e+001
1.214286e+000	3.291343e+001
1.229762e+000	2.879616e+001
1.246786e+000	2.597252e+001
1.263810e+000	2.363244e+001
1.280833e+000	2.414168e+001
1.297857e+000	2.659291e+001
1.314881e+000	3.834538e+001
1.331905e+000	4.804260e+001
1.345524e+000	5.441505e+001
1.359143e+000	5.923650e+001
1.372762e+000	6.721421e+001
1.386381e+000	7.667193e+001
1.400000e+000	9.214547e+001
1.415385e+000	1.077889e+002
1.432168e+000	1.242391e+002
1.448951e+000	1.349894e+002
1.464056e+000	1.412060e+002
1.477650e+000	1.424159e+002
1.491245e+000	1.477315e+002
1.504839e+000	1.519327e+002
1.518434e+000	1.598185e+002
1.532028e+000	1.649474e+002
1.545622e+000	1.721056e+002
1.559217e+000	1.756837e+002
1.569413e+000	1.811726e+002
1.579608e+000	1.810184e+002
1.589804e+000	1.870293e+002
1.600000e+000	1.914793e+002
1.611111e+000	1.988488e+002
1.623704e+000	2.099999e+002
1.637265e+000	2.211768e+002
1.652059e+000	2.335110e+002
1.666853e+000	2.415714e+002
1.681647e+000	2.500339e+002
1.696441e+000	2.539867e+002
1.711235e+000	2.604464e+002
