#   Source : patch outlet1
#   Faces  : 91
#   Area   : 3.750000e+000
#        Time	sum(rhoPhi)
3.244444e+000	1.421396e+004
3.266667e+000	1.424545e+004
3.288889e+000	1.423175e+004
3.311111e+000	1.426355e+004
3.333333e+000	1.424872e+004
3.355556e+000	1.427771e+004
3.377778e+000	1.426681e+004
3.400000e+000	1.430141e+004
3.422222e+000	1.429112e+004
3.444444e+000	1.432009e+004
3.466667e+000	1.430465e+004
3.488889e+000	1.432764e+004
3.511111e+000	1.430421e+004
3.533333e+000	1.432381e+004
3.555556e+000	1.429388e+004
3.577778e+000	1.431081e+004
3.600000e+000	1.428450e+004
3.622222e+000	1.430482e+004
3.644444e+000	1.427847e+004
3.666667e+000	1.430127e+004
3.688889e+000	1.427158e+004
3.711111e+000	1.429067e+004
3.733333e+000	1.425690e+004
3.755556e+000	1.427551e+004
3.777778e+000	1.424129e+004
3.800000e+000	1.426579e+004
3.822222e+000	1.422843e+004
3.844444e+000	1.425098e+004
3.866667e+000	1.420515e+004
3.888889e+000	1.422587e+004
3.911111e+000	1.418320e+004
3.933333e+000	1.421038e+004
3.955556e+000	1.417870e+004
3.977778e+000	1.422046e+004
4.000000e+000	1.420496e+004
4.022222e+000	1.426294e+004
4.044444e+000	1.426244e+004
4.066667e+000	1.433144e+004
4.088889e+000	1.433156e+004
4.111111e+000	1.438709e+004
4.133333e+000	1.436346e+004
4.155556e+000	1.439247e+004
4.177778e+000	1.434515e+004
4.200000e+000	1.435552e+004
4.222222e+000	1.429792e+004
4.244444e+000	1.430742e+004
4.266667e+000	1.425167e+004
4.288889e+000	1.426468e+004
4.311111e+000	1.421008e+004
4.333333e+000	1.421806e+004
4.355556e+000	1.415608e+004
4.377778e+000	1.415772e+004
4.400000e+000	1.409102e+004
4.422222e+000	1.409109e+004
4.444444e+000	1.402702e+004
4.466667e+000	1.403279e+004
4.488889e+000	1.397605e+004
4.511111e+000	1.398993e+004
4.533333e+000	1.393957e+004
4.555556e+000	1.395779e+004
4.577778e+000	1.391069e+004
4.600000e+000	1.393223e+004
4.622222e+000	1.388858e+004
4.644444e+000	1.391412e+004
4.666667e+000	1.387506e+004
4.688889e+000	1.390514e+004
4.711111e+000	1.387004e+004
4.733333e+000	1.390293e+004
4.755556e+000	1.386938e+004
4.777778e+000	1.390256e+004
4.800000e+000	1.386783e+004
4.822222e+000	1.389986e+004
4.844444e+000	1.386510e+004
4.866667e+000	1.389845e+004
4.888889e+000	1.386482e+004
4.911111e+000	1.389869e+004
4.933333e+000	1.386504e+004
4.955556e+000	1.389830e+004
4.977778e+000	1.386240e+004
5.000000e+000	1.389360e+004
5.022222e+000	1.385693e+004
5.044444e+000	1.388848e+004
5.066667e+000	1.385201e+004
5.088889e+000	1.388146e+004
5.111111e+000	1.384047e+004
5.133333e+000	1.386448e+004
5.155556e+000	1.381714e+004
5.177778e+000	1.383601e+004
5.200000e+000	1.378772e+004
5.222222e+000	1.380976e+004
5.244444e+000	1.376714e+004
5.266667e+000	1.379525e+004
5.288889e+000	1.375773e+004
5.311111e+000	1.378903e+004
5.333333e+000	1.375229e+004
5.355556e+000	1.378200e+004
5.377778e+000	1.374187e+004
5.400000e+000	1.376774e+004
5.422222e+000	1.372455e+004
5.444444e+000	1.374924e+004
5.466667e+000	1.370671e+004
5.488889e+000	1.373472e+004
5.511111e+000	1.369778e+004
5.533333e+000	1.373251e+004
5.555556e+000	1.370036e+004
5.577778e+000	1.373588e+004
5.600000e+000	1.370052e+004
