#   Source : patch outlet1
#   Faces  : 832
#   Area   : 3.750000e+000
#        Time	sum(rhoPhi)
7.206667e-001	1.937906e+001
7.243333e-001	1.911394e+001
7.280000e-001	1.963697e+001
7.311429e-001	1.931416e+001
7.342857e-001	1.991108e+001
7.369048e-001	1.950740e+001
7.395238e-001	2.019054e+001
7.416190e-001	1.966744e+001
7.437143e-001	2.048136e+001
7.458095e-001	1.980597e+001
7.479048e-001	2.073192e+001
7.500000e-001	1.992434e+001
7.522727e-001	2.097183e+001
7.547847e-001	2.004381e+001
7.574444e-001	2.120817e+001
7.602815e-001	2.013873e+001
7.633367e-001	2.148361e+001
7.666698e-001	2.034403e+001
7.700028e-001	2.182451e+001
7.733358e-001	2.058018e+001
7.766688e-001	2.218849e+001
7.800019e-001	2.085581e+001
7.833349e-001	2.253775e+001
7.866679e-001	2.114155e+001
7.900009e-001	2.287539e+001
7.933340e-001	2.140583e+001
7.966670e-001	2.314516e+001
7.983335e-001	2.152716e+001
8.000000e-001	2.333827e+001
8.019231e-001	2.165240e+001
8.042125e-001	2.348120e+001
8.067562e-001	2.175447e+001
8.096391e-001	2.361393e+001
8.127438e-001	2.197622e+001
8.161307e-001	2.383920e+001
8.198940e-001	2.228122e+001
8.236572e-001	2.406126e+001
8.269501e-001	2.262053e+001
8.298313e-001	2.430217e+001
8.327126e-001	2.288718e+001
8.355938e-001	2.451893e+001
8.384750e-001	2.308601e+001
8.413563e-001	2.469723e+001
8.442375e-001	2.328502e+001
8.471188e-001	2.490767e+001
8.500000e-001	2.351311e+001
8.531250e-001	2.515749e+001
8.564732e-001	2.373751e+001
8.601004e-001	2.545248e+001
8.640904e-001	2.397543e+001
8.676814e-001	2.571240e+001
8.712723e-001	2.412902e+001
8.748633e-001	2.591219e+001
8.784542e-001	2.430975e+001
8.820452e-001	2.607814e+001
8.856362e-001	2.446796e+001
8.892271e-001	2.619050e+001
8.928181e-001	2.455204e+001
8.964090e-001	2.624173e+001
9.000000e-001	2.467975e+001
9.038462e-001	2.635650e+001
9.080420e-001	2.494986e+001
9.118563e-001	2.668663e+001
9.160945e-001	2.544039e+001
9.203327e-001	2.726110e+001
9.245709e-001	2.613306e+001
9.288091e-001	2.793741e+001
9.330473e-001	2.683083e+001
9.372854e-001	2.861315e+001
9.415236e-001	2.755372e+001
9.457618e-001	2.929342e+001
9.500000e-001	2.825593e+001
9.541667e-001	2.996916e+001
9.583333e-001	2.899517e+001
9.625000e-001	3.081671e+001
9.666667e-001	3.000320e+001
9.708333e-001	3.205050e+001
9.750000e-001	3.115068e+001
9.791667e-001	3.313753e+001
9.833333e-001	3.187162e+001
9.875000e-001	3.385272e+001
9.916667e-001	3.248352e+001
9.944444e-001	3.432018e+001
9.972222e-001	3.284931e+001
1.000000e+000	3.458392e+001
1.003125e+000	3.313569e+001
1.006473e+000	3.483080e+001
1.010100e+000	3.341669e+001
1.014090e+000	3.507725e+001
1.018080e+000	3.375905e+001
1.022070e+000	3.532301e+001
1.026060e+000	3.403194e+001
1.030050e+000	3.546764e+001
1.034040e+000	3.423398e+001
1.038030e+000	3.554885e+001
1.042020e+000	3.428433e+001
